ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,ans,answer,ce,cf,cfi,co,color1,color2,color3,color4,color5,color6,color7,color8,cs,cse,ct,cth,danswer,dce,dcf,dcfi,dco,dcs,dcse,dct,dcth,difcolor,difcolor1,dresc,encoding,exp1,exp1.Cycle,exp1.Sample,exp2,exp2.Cycle,exp2.Sample,memorizing,prac,prac.Cycle,prac.Sample,pracresp.ACC,Procedure,resc,resp.ACC,resp.CRESP,resp.RESP,resp.RT,respcolor,Running,samecolor,samecolor1
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,1,n,n,navy,olive,cyan,yellow,yellow,purple,red,olive,cyan,blue,magenta,navy,blue,magenta,purple,red,x,cyan,magenta,maroon,green,gray,yellow,olive,black,9,,blue,100,,,,,,,500,1,1,1,0,pracproc,magenta,,,,,magenta,prac,20,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,2,x,n,red,cyan,purple,navy,red,green,yellow,magenta,maroon,black,cyan,purple,gray,black,blue,maroon,x,purple,magenta,maroon,red,black,cyan,green,yellow,14,,navy,900,,,,,,,1500,12,1,2,1,pracproc,blue,,,,,navy,prac,9,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,3,n,n,gray,red,yellow,green,green,magenta,maroon,red,yellow,purple,blue,gray,purple,blue,magenta,maroon,x,gray,olive,cyan,red,purple,blue,black,yellow,8,,magenta,500,,,,,,,1500,4,1,3,0,pracproc,green,,,,,green,prac,15,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,4,x,n,blue,black,green,purple,magenta,navy,maroon,purple,yellow,red,olive,green,navy,olive,maroon,red,x,green,purple,yellow,magenta,red,olive,navy,maroon,6,,black,100,,,,,,,500,7,1,4,0,pracproc,black,,,,,black,prac,24,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,5,x,n,gray,maroon,purple,magenta,gray,blue,cyan,green,navy,olive,red,maroon,yellow,black,navy,olive,x,maroon,green,navy,gray,olive,red,blue,cyan,24,,purple,100,,,,,,,1500,8,1,5,1,pracproc,yellow,,,,,purple,prac,18,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,6,x,n,olive,black,gray,blue,gray,red,cyan,black,blue,yellow,purple,olive,purple,red,green,magenta,x,olive,black,blue,gray,yellow,purple,red,cyan,20,,magenta,500,,,,,,,1500,10,1,6,1,pracproc,olive,,,,,magenta,prac,2,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,7,n,n,black,green,red,olive,olive,blue,gray,green,red,magenta,purple,black,magenta,purple,blue,gray,x,gray,maroon,cyan,blue,red,navy,green,olive,12,,purple,100,,,,,,,1500,2,1,7,0,pracproc,olive,,,,,olive,prac,14,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,8,n,n,cyan,blue,black,red,red,navy,purple,blue,black,maroon,gray,cyan,maroon,gray,navy,purple,x,navy,maroon,green,gray,blue,cyan,purple,red,7,,olive,500,,,,,,,500,3,1,8,1,pracproc,blue,,,,,blue,prac,21,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,9,x,n,purple,blue,red,maroon,cyan,green,maroon,olive,yellow,black,gray,magenta,olive,green,black,navy,x,magenta,olive,yellow,cyan,black,gray,green,maroon,21,,blue,500,,,,,,,500,9,1,9,1,pracproc,black,,,,,blue,prac,12,
finals counterbalance,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3117812</Frequency><Timestamp dt:dt=""r8"">8981153029</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-12-28T02:53:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,391418592,12-28-2020,10:53:28,上午 02:53:28,10,n,n,yellow,green,navy,cyan,cyan,gray,blue,green,navy,black,olive,yellow,black,olive,gray,blue,x,black,olive,blue,yellow,maroon,purple,magenta,navy,10,,gray,900,,,,,,,500,5,1,10,1,pracproc,navy,,,,,navy,prac,1,
