no,memorizing,encoding,RT
1,500,100,743.50
1,500,500,694.85
1,500,900,765.60
1,1500,100,882.55
1,1500,500,847.52
1,1500,900,873.00
2,500,100,1038.24
2,500,500,1078.00
2,500,900,966.29
2,1500,100,995.00
2,1500,500,1130.41
2,1500,900,1192.81
3,500,100,797.86
3,500,500,840.80
3,500,900,842.30
3,1500,100,845.86
3,1500,500,803.67
3,1500,900,760.97
4,500,100,1011.59
4,500,500,819.74
4,500,900,733.23
4,1500,100,693.54
4,1500,500,730.00
4,1500,900,896.22
5,500,100,799.50
5,500,500,712.60
5,500,900,756.62
5,1500,100,766.42
5,1500,500,745.87
5,1500,900,736.84
6,500,100,714.38
6,500,500,697.56
6,500,900,744.31
6,1500,100,689.04
6,1500,500,670.22
6,1500,900,724.07
7,500,100,688.66
7,500,500,735.30
7,500,900,658.00
7,1500,100,687.68
7,1500,500,655.06
7,1500,900,653.21
8,500,100,555.23
8,500,500,516.62
8,500,900,545.77
8,1500,100,505.13
8,1500,500,539.38
8,1500,900,508.38
